"filename", "language", "vue", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\osama\Desktop\smm_frontend\src\App.vue", "vue", 17, 0, 0, 0, 4, 21
"c:\Users\osama\Desktop\smm_frontend\src\chartsConfig\chartConfig.js", "JavaScript", 0, 0, 15, 0, 1, 16
"c:\Users\osama\Desktop\smm_frontend\src\components\CorrectMessage.vue", "vue", 56, 0, 0, 1, 5, 62
"c:\Users\osama\Desktop\smm_frontend\src\components\EmptyButton.vue", "vue", 44, 0, 0, 1, 5, 50
"c:\Users\osama\Desktop\smm_frontend\src\components\ErrorMessage.vue", "vue", 65, 0, 0, 1, 6, 72
"c:\Users\osama\Desktop\smm_frontend\src\components\FormField.vue", "vue", 121, 0, 0, 0, 13, 134
"c:\Users\osama\Desktop\smm_frontend\src\components\MainButton.vue", "vue", 47, 0, 0, 1, 6, 54
"c:\Users\osama\Desktop\smm_frontend\src\components\RegistrationForm.vue", "vue", 428, 0, 0, 0, 56, 484
"c:\Users\osama\Desktop\smm_frontend\src\components\SideNav.vue", "vue", 155, 0, 0, 1, 14, 170
"c:\Users\osama\Desktop\smm_frontend\src\const.js", "JavaScript", 0, 0, 4, 0, 0, 4
"c:\Users\osama\Desktop\smm_frontend\src\graphql\mutations.js", "JavaScript", 0, 0, 238, 0, 15, 253
"c:\Users\osama\Desktop\smm_frontend\src\graphql\queries.js", "JavaScript", 0, 0, 205, 0, 10, 215
"c:\Users\osama\Desktop\smm_frontend\src\main.js", "JavaScript", 0, 0, 43, 0, 9, 52
"c:\Users\osama\Desktop\smm_frontend\src\router\index.js", "JavaScript", 0, 0, 79, 9, 5, 93
"c:\Users\osama\Desktop\smm_frontend\src\style.css", "CSS", 0, 72, 0, 0, 13, 85
"c:\Users\osama\Desktop\smm_frontend\src\style\theme.css", "CSS", 0, 6, 0, 0, 0, 6
"c:\Users\osama\Desktop\smm_frontend\src\utils\fixed.js", "JavaScript", 0, 0, 21, 0, 1, 22
"c:\Users\osama\Desktop\smm_frontend\src\utils\utils.js", "JavaScript", 0, 0, 34, 3, 5, 42
"c:\Users\osama\Desktop\smm_frontend\src\views\BuyChars.vue", "vue", 444, 0, 0, 0, 46, 490
"c:\Users\osama\Desktop\smm_frontend\src\views\HomeSmm.vue", "vue", 154, 0, 0, 0, 24, 178
"c:\Users\osama\Desktop\smm_frontend\src\views\MainPage.vue", "vue", 209, 0, 0, 0, 27, 236
"c:\Users\osama\Desktop\smm_frontend\src\views\NewSqueal.vue", "vue", 1418, 0, 0, 0, 146, 1564
"c:\Users\osama\Desktop\smm_frontend\src\views\Registration.vue", "vue", 45, 0, 0, 0, 7, 52
"c:\Users\osama\Desktop\smm_frontend\src\views\SmmChats.vue", "vue", 336, 0, 0, 0, 45, 381
"c:\Users\osama\Desktop\smm_frontend\src\views\SmmNotifications.vue", "vue", 268, 0, 0, 0, 39, 307
"c:\Users\osama\Desktop\smm_frontend\src\views\SmmProfile.vue", "vue", 770, 0, 0, 0, 67, 837
"c:\Users\osama\Desktop\smm_frontend\src\views\SmmReviews.vue", "vue", 416, 0, 0, 0, 60, 476
"c:\Users\osama\Desktop\smm_frontend\src\views\UserActivity.vue", "vue", 639, 0, 0, 0, 74, 713
"c:\Users\osama\Desktop\smm_frontend\src\views\UserNotifications.vue", "vue", 245, 0, 0, 0, 36, 281
"c:\Users\osama\Desktop\smm_frontend\src\views\UserStats.vue", "vue", 353, 0, 0, 0, 28, 381
"Total", "-", 6230, 78, 639, 17, 767, 7731